"Dataset";"#TrainingRelease";"%Training";"%DefectiveInTraining";"%DefectiveInTesting";"Classifier";"Balancing";"FeatureSelection";"Sensitivity";"TP";"FP";"TN";"FN";"Precision";"Recall";"AUC";"Kappa"
"SYNCOPE";"17";"93,23";"14,02";"56,49";"NAIVE_BAYES";"true";"true";"false";"357";"29";"293";"61";"0,924870";"0,854067";"0,952265";"0,755384"
"SYNCOPE";"17";"93,23";"14,02";"56,49";"IBK";"true";"true";"false";"12";"14";"308";"406";"0,461538";"0,028708";"0,158701";"-0,012959"
"SYNCOPE";"18";"93,60";"13,08";"54,22";"RANDOM_FOREST";"true";"true";"false";"15";"0";"342";"390";"1,000000";"0,037037";"0,832915";"0,034020"
"SYNCOPE";"18";"93,60";"13,08";"54,22";"NAIVE_BAYES";"true";"true";"false";"7";"0";"342";"398";"1,000000";"0,017284";"0,894426";"0,015849"
"SYNCOPE";"18";"93,60";"13,08";"54,22";"IBK";"true";"true";"false";"8";"7";"335";"397";"0,533333";"0,019753";"0,177872";"-0,000657"
"SYNCOPE";"19";"93,87";"12,25";"54,52";"RANDOM_FOREST";"true";"true";"false";"9";"4";"343";"407";"0,692308";"0,021635";"0,950132";"0,009219"
"SYNCOPE";"19";"93,87";"12,25";"54,52";"NAIVE_BAYES";"true";"true";"false";"0";"0";"347";"416";"NaN";"0,000000";"0,481410";"0,000000"
"SYNCOPE";"19";"93,87";"12,25";"54,52";"IBK";"true";"true";"false";"44";"12";"335";"372";"0,785714";"0,105769";"0,831592";"0,065547"
"SYNCOPE";"20";"94,18";"14,74";"12,76";"RANDOM_FOREST";"true";"true";"false";"41";"373";"297";"57";"0,099034";"0,418367";"0,425373";"-0,058217"
"SYNCOPE";"20";"94,18";"14,74";"12,76";"NAIVE_BAYES";"true";"true";"false";"41";"381";"289";"57";"0,097156";"0,418367";"0,478267";"-0,062328"
"SYNCOPE";"20";"94,18";"14,74";"12,76";"IBK";"true";"true";"false";"41";"377";"293";"57";"0,098086";"0,418367";"0,450891";"-0,060288"
"SYNCOPE";"21";"94,18";"20,13";"1,84";"RANDOM_FOREST";"true";"true";"false";"0";"412";"389";"15";"0,000000";"0,000000";"0,390429";"-0,036778"
"SYNCOPE";"21";"94,18";"20,13";"1,84";"NAIVE_BAYES";"true";"true";"false";"0";"569";"232";"15";"0,000000";"0,000000";"0,263837";"-0,037151"
"SYNCOPE";"21";"94,18";"20,13";"1,84";"IBK";"true";"true";"false";"0";"413";"388";"15";"0,000000";"0,000000";"0,315356";"-0,036781"
"SYNCOPE";"22";"93,46";"19,70";"21,81";"RANDOM_FOREST";"true";"true";"false";"14";"0";"767";"200";"1,000000";"0,065421";"0,535936";"0,098660"
"SYNCOPE";"22";"93,46";"19,70";"21,81";"NAIVE_BAYES";"true";"true";"false";"0";"0";"767";"214";"NaN";"0,000000";"0,529490";"0,000000"
"SYNCOPE";"22";"93,46";"19,70";"21,81";"IBK";"true";"true";"false";"14";"0";"767";"200";"1,000000";"0,065421";"0,535942";"0,098660"
"SYNCOPE";"23";"93,23";"18,60";"23,85";"RANDOM_FOREST";"true";"true";"false";"22";"17";"813";"238";"0,564103";"0,084615";"0,532298";"0,090567"
"SYNCOPE";"23";"93,23";"18,60";"23,85";"NAIVE_BAYES";"true";"true";"false";"14";"0";"830";"246";"1,000000";"0,053846";"0,531701";"0,079758"
"SYNCOPE";"23";"93,23";"18,60";"23,85";"IBK";"true";"true";"false";"22";"16";"814";"238";"0,578947";"0,084615";"0,533758";"0,092441"
"SYNCOPE";"24";"95,11";"17,45";"3,02";"RANDOM_FOREST";"true";"true";"false";"22";"0";"802";"3";"1,000000";"0,880000";"0,940000";"0,934311"
"SYNCOPE";"24";"95,11";"17,45";"3,02";"NAIVE_BAYES";"true";"true";"false";"22";"0";"802";"3";"1,000000";"0,880000";"0,940000";"0,934311"
"SYNCOPE";"24";"95,11";"17,45";"3,02";"IBK";"true";"true";"false";"0";"0";"802";"25";"NaN";"0,000000";"0,060000";"0,000000"
"SYNCOPE";"25";"91,96";"19,29";"0,54";"RANDOM_FOREST";"true";"true";"false";"3";"314";"1157";"5";"0,009464";"0,375000";"0,612593";"0,007994"
"SYNCOPE";"25";"91,96";"19,29";"0,54";"NAIVE_BAYES";"true";"true";"false";"2";"77";"1394";"6";"0,025316";"0,250000";"0,660817";"0,036512"
"SYNCOPE";"25";"91,96";"19,29";"0,54";"IBK";"true";"true";"false";"1";"261";"1210";"7";"0,003817";"0,125000";"0,605583";"-0,003123"
"SYNCOPE";"26";"93,27";"17,88";"0,08";"RANDOM_FOREST";"true";"true";"false";"0";"226";"1101";"1";"0,000000";"0,000000";"0,364732";"-0,001502"
"SYNCOPE";"26";"93,27";"17,88";"0,08";"NAIVE_BAYES";"true";"true";"false";"0";"46";"1281";"1";"0,000000";"0,000000";"0,816880";"-0,001476"
"SYNCOPE";"26";"93,27";"17,88";"0,08";"IBK";"true";"true";"false";"0";"212";"1115";"1";"0,000000";"0,000000";"0,197438";"-0,001501"
