"Dataset";"#TrainingRelease";"%Training";"%DefectiveInTraining";"%DefectiveInTesting";"Classifier";"Balancing";"FeatureSelection";"Sensitivity";"TP";"FP";"TN";"FN";"Precision";"Recall";"AUC";"Kappa"
"SYNCOPE";"18";"93,60";"13,08";"54,22";"RANDOM_FOREST";"true";"true";"true";"0";"0";"342";"405";"NaN";"0,000000";"0,500000";"0,000000"
"SYNCOPE";"18";"93,60";"13,08";"54,22";"NAIVE_BAYES";"true";"true";"true";"0";"0";"342";"405";"NaN";"0,000000";"0,500000";"0,000000"
"SYNCOPE";"18";"93,60";"13,08";"54,22";"IBK";"true";"true";"true";"8";"7";"335";"397";"0,533333";"0,019753";"0,499643";"-0,000657"
"SYNCOPE";"19";"93,87";"12,25";"54,52";"RANDOM_FOREST";"true";"true";"true";"1";"0";"347";"415";"1,000000";"0,002404";"0,501202";"0,002187"
"SYNCOPE";"19";"93,87";"12,25";"54,52";"NAIVE_BAYES";"true";"true";"true";"0";"0";"347";"416";"NaN";"0,000000";"0,500000";"0,000000"
"SYNCOPE";"19";"93,87";"12,25";"54,52";"IBK";"true";"true";"true";"44";"12";"335";"372";"0,785714";"0,105769";"0,535594";"0,065547"
"SYNCOPE";"20";"94,18";"14,74";"12,76";"RANDOM_FOREST";"true";"true";"true";"38";"364";"306";"60";"0,094527";"0,387755";"0,422236";"-0,066918"
"SYNCOPE";"20";"94,18";"14,74";"12,76";"NAIVE_BAYES";"true";"true";"true";"36";"319";"351";"62";"0,101408";"0,367347";"0,445614";"-0,051321"
"SYNCOPE";"20";"94,18";"14,74";"12,76";"IBK";"true";"true";"true";"41";"377";"293";"57";"0,098086";"0,418367";"0,427840";"-0,060288"
"SYNCOPE";"21";"94,18";"20,13";"1,84";"RANDOM_FOREST";"true";"true";"true";"0";"398";"403";"15";"0,000000";"0,000000";"0,251561";"-0,036731"
"SYNCOPE";"21";"94,18";"20,13";"1,84";"NAIVE_BAYES";"true";"true";"true";"0";"404";"397";"15";"0,000000";"0,000000";"0,247815";"-0,036751"
"SYNCOPE";"21";"94,18";"20,13";"1,84";"IBK";"true";"true";"true";"0";"406";"395";"15";"0,000000";"0,000000";"0,246567";"-0,036758"
"SYNCOPE";"22";"93,46";"19,70";"21,81";"RANDOM_FOREST";"true";"true";"true";"14";"0";"767";"200";"1,000000";"0,065421";"0,532710";"0,098660"
